ts,open,high,low,close,volume
1700000000,120,121,119,120,1000
1700003600,120,121,117,118,1000
1700007200,118,119,115,116,1000
1700010800,116,117,113,114,1000
1700014400,114,115,111,112,1000
1700018000,112,113,109,110,1000
1700021600,110,111,107,108,1000
1700025200,108,109,105,106,1000
1700028800,106,107,103,104,1000
1700032400,104,105,101,102,1000
1700036000,102,103,99,100,1000
1700039600,100,103,99,102,1000
1700043200,102,105,101,104,1000
1700046800,104,107,103,106,1000
1700050400,106,109,105,108,1000
1700054000,108,111,107,110,1000
1700057600,110,113,109,112,1000
1700061200,112,115,111,114,1000
1700064800,114,117,113,116,1000
1700068400,116,119,115,118,1000
1700072000,118,121,117,120,1000
1700075600,120,123,119,122,1000
1700079200,122,125,121,124,1000
1700082800,124,127,123,126,1000
1700086400,126,129,125,128,1000
1700090000,128,131,127,130,1000
1700093600,130,133,129,132,1000
1700097200,132,135,131,134,1000
1700100800,134,137,133,136,1000
1700104400,136,139,135,138,1000
1700108000,138,141,137,140,1000
1700111600,140,143,139,142,1000
1700115200,142,145,141,144,1000
1700118800,144,147,143,146,1000
1700122400,146,149,145,148,1000
1700126000,148,151,147,150,1000
1700129600,150,153,149,152,1000
1700133200,152,155,151,154,1000
1700136800,154,157,153,156,1000
1700140400,156,159,155,158,1000
