ts,open,high,low,close,volume
1700000000,110,111,109,110,1000
1700003600,110,111,107,108,1000
1700007200,108,109,105,106,1000
1700010800,106,107,103,104,1000
1700014400,104,105,101,102,1000
1700018000,102,103,99,100,1000
1700021600,100,101,97,98,1000
1700025200,98,99,95,96,1000
1700028800,96,97,93,94,1000
1700032400,94,95,91,92,1000
1700036000,92,93,89,90,1000
1700039600,90,91,87,88,1000
1700043200,88,89,85,86,1000
1700046800,86,87,83,84,1000
1700050400,84,85,81,82,1000
1700054000,82,83,79,80,1000
1700057600,80,81,77,78,1000
1700061200,78,79,75,76,1000
1700064800,76,77,73,74,1000
1700068400,74,75,71,72,1000
1700072000,72,73,69,70,1000
1700075600,70,74,69,73,1000
1700079200,73,77,72,76,1000
1700082800,76,80,75,79,1000
1700086400,79,83,78,82,1000
1700090000,82,86,81,85,1000
1700093600,85,89,84,88,1000
1700097200,88,92,87,91,1000
1700100800,91,95,90,94,1000
1700104400,94,98,93,97,1000
1700108000,97,101,96,100,1000
1700111600,100,104,99,103,1000
1700115200,103,107,102,106,1000
1700118800,106,110,105,109,1000
1700122400,109,113,108,112,1000
1700126000,112,116,111,115,1000
1700129600,115,119,114,118,1000
1700133200,118,122,117,121,1000
1700136800,121,125,120,124,1000
1700140400,124,128,123,127,1000
